iter	Passed	Remaining
0	51	10261
1	56	5551
2	59	3938
3	63	3122
4	67	2636
5	71	2306
6	75	2069
7	78	1891
8	82	1743
9	84	1611
10	87	1511
11	90	1419
12	93	1340
13	95	1274
14	98	1215
15	101	1163
16	103	1114
17	105	1068
18	107	1027
19	110	990
20	112	956
21	114	925
22	116	897
23	118	871
24	120	846
25	123	824
26	125	803
27	127	784
28	130	766
29	132	749
30	134	733
31	136	717
32	138	703
33	141	689
34	143	675
35	146	666
36	148	655
37	150	643
38	153	631
39	155	621
40	157	610
41	159	600
42	161	590
43	164	581
44	166	573
45	168	564
46	170	556
47	173	548
48	175	540
49	177	532
50	179	525
51	182	518
52	184	511
53	186	504
54	188	497
55	190	491
56	193	484
57	195	478
58	197	472
59	199	466
60	202	460
61	204	455
62	206	449
63	209	444
64	211	439
65	213	433
66	215	428
67	218	423
68	220	418
69	222	413
70	224	408
71	227	403
72	229	399
73	231	394
74	233	389
75	236	385
76	238	380
77	240	376
78	242	372
79	245	367
80	247	363
81	249	359
82	252	355
83	254	351
84	256	346
85	258	342
86	260	338
87	263	335
88	265	331
89	267	327
90	269	323
91	272	319
92	274	315
93	276	311
94	278	307
95	280	304
96	283	300
97	285	297
98	287	293
99	289	289
100	292	286
101	294	282
102	296	279
103	298	275
104	301	272
105	303	269
106	305	265
107	307	262
108	310	258
109	312	255
110	314	252
111	316	248
112	319	245
113	321	242
114	323	239
115	325	235
116	327	232
117	330	229
118	332	226
119	334	223
120	336	219
121	338	216
122	341	213
123	343	210
124	345	207
125	348	204
126	350	201
127	352	198
128	354	195
129	357	192
130	359	189
131	361	186
132	370	186
133	372	183
134	374	180
135	377	177
136	379	174
137	381	171
138	384	168
139	386	165
140	388	162
141	390	159
142	393	156
143	395	153
144	397	150
145	401	148
146	404	145
147	406	142
148	409	140
149	411	137
150	413	134
151	415	131
152	418	128
153	420	125
154	422	122
155	424	119
156	427	116
157	429	114
158	431	111
159	434	108
160	436	105
161	438	102
162	440	100
163	443	97
164	445	94
165	447	91
166	450	88
167	452	86
168	454	83
169	457	80
170	459	77
171	461	75
172	464	72
173	466	69
174	469	67
175	471	64
176	473	61
177	475	58
178	478	56
179	480	53
180	482	50
181	484	47
182	487	45
183	489	42
184	491	39
185	494	37
186	496	34
187	498	31
188	500	29
189	503	26
190	505	23
191	507	21
192	509	18
193	512	15
194	514	13
195	516	10
196	518	7
197	521	5
198	523	2
199	525	0
